id,smarts,retrobiocat_name
0,[#6:3][C:2]#[N:1]>>[#6:3]-[#6:2]-[#8H1],alcohol_nitrilation
1,[#6:1]-[#6:2](=[O:3])-[#8X2:4]-[#6:5]>>[#6:1]-[#6:2](=[O:3])-[#8X2]-[C].[#8X2:4]-[#6:5],alcoholysis_0
2,[#6:5]-[#8X2:4]-[#6:1](=[O:6])-[#8:2]-[#6:3]>>[#6:3]-[#8:2]-[#6:1](=[O:6])-[#8]-[#6].[#6:5]-[#8X2:4],alcoholysis_1
3,[#6:5][#6H2:6]([#7H2;R0:3])>>[#6:5][#6H1:6](=[#8]),aldehyde_amination
4,[#6H3:1]-[#6H2:2]-[#6H2:3]-[#6H2:4]>>[#6:4]-[#6:3]-[#6:2]-[#6:1]-[#6]=[O],aldehyde_decarbonylation
5,[#6:1][#6X2H0:2]#[NX3H0:3]>>[#6:1][#6X3H1:2](=[O]),aldehyde_nitrilation
6,[#6:10]-[#6H0;R0:1](=[OH0:2])[OH1:3]>>[#6:10]-[#6:1]=[O:2],aldehyde_oxidation
7,[#6:1][#6H2:2][#8H1:4]>>[#6:1][#6H1:2]=[#8:4],aldehyde_reduction
8,[#6:1][#6:2]([OH:3])[#6:5]([OH:4])[#6H0:6](=[O:7])[#6H2:8][OH:9]>>[#6:1][#6:2](=[O:3]).[OH:4][#6H2:5][#6H0:6](=[O:7])[#6H2:8][OH:9],"aldol_reaction_(1,3_dihydroxyacetone_(oh))"
9,[#6:1][#6:2]([OH:3])[#6:5]([OH:4])[#6H0:6](=[O:7])[#6H2:8][O:9][P:10](=[O:11])([O:12])[O:13]>>[#6:1][#6:2](=[O:3]).[OH:4][#6:5][#6:6](=[O:7])[#6H2:8][O:9][P:10](=[O:11])([O:12])[O:13],"aldol_reaction_(1,3_dihydroxyacetone)"
10,[#6X4:1]-[#6X4:2](-[OH:3])-[#6X4:4]-[#6X3:5]=[OH0:6]>>[#6X4:1]-[#6X3:2]=[OH0:3].[#6X4:4]-[#6X3:5]=[OH0:6],aldol_reaction_(dera)_0
11,[#6X4:1]-[#6:2](-[OH:3])-[#6X4:4]-[#6H0;R0:5](=[OH0:6])-[#6X4:7]>>[#6X4:1]-[#6H1:2]=[OH0:3].[#6X4:4]-[#6H0;R0:5](=[OH0:6])-[#6X4:7],aldol_reaction_(dera)_1
12,[#6X4:1]-[#6:2](-[OH:3])-[#6H1R1:4]-[#6H0:5](=[O:6])-[#6:7]>>[#6X4:1]-[#6H1:2]=[O:3].[#6H2;R1:4]-[#6H0:5](=[O:6])-[#6:7],aldol_reaction_(dera)_2
13,[#6X4;z1:2]([OH:3])[#6H2:4][#6H0:5](=[O:6])[#6H0:7](=[O:8])[OH:9]>>[#6X4;z1:2](=[O:3]).[#6H3:4][#6H0:5](=[O:6])[#6H0:7](=[O:8])[OH:9],aldol_reaction_(pyruvate)
14,[#6:1][#6:2]([OH:3])[#6:5]([NH2:4])[#6H0:6](=[O:7])[OH:8]>>[#6:1][#6:2](=[O:3]).[NH2:4][#6H2:5][#6H0:6](=[O:7])[OH:8],aldol_reaction_(threonine_aldolase)
15,[#6:1][C:2]#[N:3]>>[#6:1]\[#6H1:2]=[#7:3]/[#8],aldoxime_dehydration
16,[#6:1]-[#6X4:2]-1-[OH0:5]-[#6z1:3]-1>>[#6:1]-[#6:2]=[#6:3],alkene_oxidation
17,[#6:1][#6H0;R0:2](=[O:3])-[NX3:5]>>[#6:1][#6H0;R0:2](=[O:3])[OH].[Nh1X3:5],amidation
18,[#6:1][#6;H0:2](=[OH0:3])[OH:4]>>[#6:1][#6:2](=[O:3])[NH][#6X4],amide_hydrolysis_(cooh)
19,[#6X4:5][NH2:6]>>[#6][#6](=[O])[NH:6][#6X4:5],amide_hydrolysis_(nh)
20,[c:6]1[c:7][c:2](-[OH:1])[c:3][c:4][c:5]1-[#6:8]-[#6h1:9](-[NH2:20])-[#6:11](=[O:12])-[OH:13]>>[c:6]1[c:7][c:2](-[O:1])[c:3][c:4][c:5]1.[#6:8]-[#6H0:9](=[O])-[#6:11](=[O:12])-[OH:13],amination_(tpl)
21,[#6:1][#6H1:2]=[NX2:3]>>[#6:1][#6H2:2][N:3],amine_oxidation_0
22,[#6:1][#6H0:2]([#6:4])=[NX2:3]>>[#6:1][#6@@H1:2]([#6:4])[N:3],amine_oxidation_1
23,[#6:3]-[#6:2](=[O:6])-[#6:1](-[#8H1:4])=[O:5]>>[#6:3]-[#6@@H:2](-[NH2])-[#6:1](-[#8H:4])=[O:5],amino_acid_oxidation_0
24,[#6:3]-[#6:2](=[O:6])-[#6:1](-[#8H1:4])=[O:5]>>[#6:3]-[#6@H:2](-[NH2])-[#6:1](-[#8H:4])=[O:5],amino_acid_oxidation_1
25,[#6:1][#6H0;R0:2](=[O:3])-[NX3:5]>>[#6:1][#6H0;R0:2](=[O:3])[O]-[#6].[Nh1X3:5],aminolysis_0
26,[#6:5]-[#7H1:4]-[#6:1](=[O:6])-[#8:2]-[#6:3]>>[#6:3]-[#8:2]-[#6:1](=[O:6])-[#8]-[#6].[#6:5]-[#7:4],aminolysis_1
27,[#6:1]-[#6H1:2](-[NH1;R0:10])-[#6H2:3]-[#6:4]=[O:5]>>[#6:1]-[#6H1:2]=[#6H1:3]-[#6:4]=[O:5].[NH2;R0:10],aza_micheal_addition_0
28,[#6:1]-[#6:2](-[NH1;R0:10])-[#6:3]-[#6:4]-[N:5](-[O:6])-[O:7]>>[#6:1]-[#6:2]=[#6:3]-[#6:4]-[N:5](-[O:6])-[O:7].[NH2;R0:10],aza_micheal_addition_1
29,[#6:1][#6:2]([NH1;R0:10])[#6:3][#6:4]#[N:6]>>[#6:1][#6:2]=[#6:3][#6:4]#[N:6].[NH2;R0:10],aza_micheal_addition_2
30,[#6:10]-[#6:9](=[O:11])-[c:2]1[cH1:3][c:4][c:5](-[#8H1:8])[cH1:6][c:1]1-[#8H1:7]>>[#8:7]-[c:1]1[c:2][c:3][c:4][c:5](-[#8:8])[c:6]1.[#6]-[#8]-[#6:9](-[#6:10])=[O:11],c_acylation_0
31,[#6:10]-[#6:9](=[O:11])-[c:2]1[cH1:3][c:4][c:5](-[#8H1:8])[cH1:6][c:1]1-[#8H1:7]>>[#8:7]-[c:1]1[c:2][c:3][c:4][c:5](-[#8:8])[c:6]1.[#6]-[#16]-[#6:9](-[#6:10])=[O:11],c_acylation_1
32,[#6:8]-[#6:7](=[O:9])-[c:1]1[cH1:6][c:5][c:4](-[#8H1:11])[cH1:3][c:2]1-[#8H1:10]>>[#8:10]-[c:2]1[c:1][c:6][c:5][c:4](-[#8:11])[c:3]1.[#6]-[#6](=[O])-[c]1[c](-[#8])[c][c](-[#8])[c](-[#6:7](-[#6:8])=[O:9])[c]1-[#8],c_acylation_2
33,[#6:1]-[#6h1:2](-[#6H3:8])-[#6:3](=[O:4])-[#6:5](-[#8H1:7])=[O:6]>>[#6:1]-[#6:2]-[#6:3](=[O:4])-[#6:5](-[#8H1:7])=[O:6],c_methylation
34,[#8:10]-[#6:8](=[O:9])-[c:6]1[c:5][c:4][c:3][c:2][c:1]1-[#8H1:7]>>[#8:7]-[c:1]1[cH1:6][c:5][c:4][c:3][c:2]1,carboxylation_0
35,[#8:11]-[#6:10](=[O:12])\[#6H1:9]=[#6H1:8]\[c:6]1[cH1:1][c:2][c:3](-[#8H1:7])[c:4][cH1:5]1>>[#8:7]-[c:3]1[c:2][c:1][c:6](-[#6:8]=[#6:9])[c:5][c:4]1,carboxylation_1
36,[#6:1][#6H1:2](=[O:3])>>[#6:1][#6H0:2](=[O:3])[OH],carboxylic_acid_reduction
37,[#6:3]-[#6:1](=[O:2])-[#16:51]-[#6:50]-[#6:49]-[#7:48]-[#6:46](=[O:47])-[#6:45]-[#6:44]-[#7:43]-[#6:41](=[O:42])-[#6@H:39](-[#8:40])[C:5]([#6:4])([#6:6])[#6:7]-[#8:8][P:9]([#8:10])(=[O:11])[#8:12][P:13]([#8:14])(=[O:15])[#8:16]-[#6:17]-[#6@H:18]-1-[#8:19]-[#6@H:20](-[#6@H:21](-[#8:22])-[#6@@H:23]-1-[#8:24][P:25]([#8:26])([#8:27])=[O:28])-[n:29]1[c:30][n:31][c:32]2[c:33](-[#7:34])[n:35][c:36][n:37][c:38]12>>[#6:3]-[#6:1](-[#8])=[O:2],coa_ligation
38,[#6;z1:7]-[N;R0:6]-[#6:1]-[#6:2]-[#6:3](=[O:4])-[#6:5]>>[#6:1]=[#6:2]-[#6:3](=[O:4])-[#6:5].[N:6]-[#6:7],conjugate_addition_amine_to_enone
39,[N:1]1[#6:2][#6:3][#6:4][#6:5][#6:6]1[#6:7][#6:8](=[O:9])[#6:10]>>[N:1][#6:2][#6:3][#6:4][#6:5][#6:6]=[#6:7][#6:8](=[O:9])[#6:10],conjugate_addition_amine_to_enone_6_ring_closure
40,[#6:1][#6H1:2](=[O:3])>>[#6:1][#6H0:2](=[O:3])[#6H0](=[O])[OH],decarboxylation_0
41,[#6:1][#6H2:2]([NH2:3])>>[#6:1][#6@@H1:2]([NH2:3])[#6H0](=[O])[OH],decarboxylation_1
42,[#6:1][#6H2:2]([NH2:3])>>[#6:1][#6@H1:2]([NH2:3])[#6H0](=[O])[OH],decarboxylation_2
43,[#6:4]=[#6:5]-[c:6]>>[OH][#6](=[O])\[#6:4]=[#6:5]\[c:6],decarboxylation_3
44,[#6:4]=[#6:5]-[#6:6]=[#6:7]>>[OH][#6](=[O])[#6:4]=[#6:5][#6:6]=[#6:7],decarboxylation_4
45,[#6H3:7][#6:1](-[#6:2]=[#6:3])-[#6:4](-[#8H1:5])=[O:6]>>[#6H3:7][C:1]([#6:2]=[#6:3])([#6:4](-[#8H1:5])=[O:6])[#6](-[#8H1])=[O],decarboxylation_(arylmalonate)_0
46,[#6H3:8][#6:6](-[#6:7](-[#8H1:9])=[O:10])-[c:1]1[c:2][c:3][c:11][c:4][c:5]1>>[#6H3:8][C:6]([#6](-[#8H1])=[O])([#6:7](-[#8H1:9])=[O:10])[c:1]1[c:2][c:3][c:11][c:4][c:5]1,decarboxylation_(arylmalonate)_1
47,[#6:10]-[#7:9]-[#6:3](-[#6:1]-[#6:2](-[#8H1:7])=[O:8])-[#6:4](-[#8H1:5])=[O:6]>>[#8H1:7]-[#6:2](=[O:8])\[#6:1]=[#6:3]\[#6:4](-[#8H1:5])=[O:6].[#6:10]-[#7H2:9],ene_amination_(fumaric_acid)
48,[#6:4]-[#6H2X4:3]-[#6h1X4:2](-[#6:1])-[#8H:5]>>[#6:1]\[#6H1:2]=[#6H1:3]\[#6:4],ene_hydrolysis
49,[#6X4:1]-[#6:2]-[#6:3]=[O:5]>>[#6X3:1]=[#6:2][#6:3]=[O:5],ene_reduction_0
50,[#6@@H:1]-[#6:2]-[#6:3]=[O:5]>>[#6H0:1]=[#6:2][#6:3]=[O:5],ene_reduction_1
51,[#6X4:1]-[#6@@H:2]-[#6:3]=[O:5]>>[#6X3:1]=[#6H0:2][#6:3]=[O:5],ene_reduction_2
52,"[#6@@H,#6:1]-[#6:2]-[#6:3][N:5]([O:6])[O:7]>>[#6H0,#6:1]=[#6:2][#6:3][N:5]([O:6])[O:7]",ene_reduction_3
53,[#6:3]-[#6:2]-[#6:1]-[#7:4](-[#8:5])-[#8:6]>>[#6:3]\[#6:2]=[#6:1]/[#7:4](-[#8:6])-[#8:5],ene_reduction_4
54,"[#6@@H,#6:1]-[#6:2]-[#6:3]#[N:6]>>[#6H0,#6:1]=[#6:2][#6:3]#[N:6]",ene_reduction_5
55,[#8;R0;H1:2]-[#6X4;z1:1]-[#6X4;z1:3]-[#8;R0;H1]>>[#6X4;z1:1]-1-[#6X4;z1:3]-[#8H0:2]-1,epoxide_hydrolysis
56,[#6:1][#6;H0:2](=[OH0:3])[OH:4]>>[#6:1][#6:2](=[O:3])[O:4][#6][#6],ester_hydrolysis_(cooh)
57,[#6;X4:5]-[#8H1:6]>>[#6;X4:5]-[#8:6]-[#6](-[#6][#6])=O,ester_hydrolysis_(oh)
58,[#6:5]-[#8:3]-[#6:2](-[#6:1])=[O:4]>>[#6:1]-[#6:2](-[#8:3])=[O:4].[#6:5]-[#8],esterification
59,[c:1]1[c:2][c:3][c:4][c:5][c:6]1[#6z1:7]([OH:9])[#6H3:8]>>[c:1]1[c:2][c:3][c:4][c:5][c:6]1[#6H2:7][#6H3:8],ethylmethylbenzene_oxidation
60,[#6H3:10]-[#6:9](=[O:11])-[c:2]1[cH1:3][cH1:4][c:5](-[#8H1:8])[cH1:6][c:1]1-[#8H1:7]>>[#6:10]-[#6:9](=[O:11])-[#8:7]-[c:1]1[c:2][c:3][c:4][c:5](-[#8:8])[c:6]1,fries_rearrangement
61,"([OH:1][#6:2]1.[#6r5,r6:6][O:7]1)>>([O:1]=[#6:2].[#6r5,r6:6][OH:7])",hemiacetal_closure
62,([O:1]=[#6:2][#6:3][#6:4].[#6:5][#6R0:6][OH:7])>>([OH:1][#6:2]1[#6:3][#6:4].[#6:5][#6:6][O:7]1),hemiacetal_opening
63,[#6:1][#6:2]([OH:3])[#6:4]#[N:5]>>[#6:1][#6H1:2]=[O:3],hydrocyanation
64,[#6:1][#6:2]([OH:3])[#6:4][N+:5]([O-:6])=[O:7]>>[#6:1][#6H1:2]=[O:3],hydrocyanation_(no)
65,[#7:7]-[c:1]1[c:2][c:3][c:4][c:5][c:6]1>>[#8H1]-[#7H1:7]-[c:1]1[c:2][c:3][c:4][c:5][c:6]1,hydroxylamine_reduction
66,[#6X3;z1:1]=[OH0:2] >> [#6X3;z1:1]=[NH1],imine_hydrolysis
67,"[#6r5,r6;R1:1]-[#7R1:2]-[#6R1:3]=[O:4]>>[#6r5,r6;R1:1]-[#7R1:2]=[#6R1:3]",imine_oxidation
68,"[#6z1X3:1]=[#7H0;+0;R0:2][#6X4z1,c:3]>>[#6:1]=[O].[#7:2][#6,c:3]",imine_formation
69,[#6X4;z1:2]-[#7X3;z0:3]>>[#6X4;z1:2]=[#7X3;z0:3],imine_reduction_0
70,[#6:1]-[#6@@H;X4:3](-[#6:2])-[#7X3;z0:4]>>[#6:1]-[#6H0;X3:3](-[#6:2])=[#7X3;z0:4],imine_reduction_1
71,[#6:1]-[#6@H;X4:3](-[#6:2])-[#7X3;z0:4]>>[#6:1]-[#6H0;X3:3](-[#6:2])=[#7X3;z0:4],imine_reduction_2
72,[#6;X3:1]=[#6:2]([NH1:3])[#6;X4:4]>>[#6h1;X4:1][#6:2](=[N:3])[#6;X4:4],imine_enaminetautomerisation_fwd
73,[#6X4:1]-[#6:2](=[N:3])-[#6X4:4]>>[#6:1]=[#6:2](-[N:3])-[#6:4],imine_enaminetautomerisation_rev
