id,smarts,retrobiocat_name
74,[#6:3][#6;R0:1](-[#6:4])=[#7+:2]([#6:5])-[#6:6]>>[#6:5]-[#7H1;+0:2]-[#6:6].[#6:3]-[#6;R0:1](-[#6:4])=[O],iminium_formation_0
75,[#6H1;R0:1](-[#6:4])=[#7+:2](/[#6:5])-[#6:6]>>[#6:5]-[#7H1;+0:2]-[#6:6].[#6H1;R0:1](-[#6:4])=[O],iminium_formation_1
76,[#6;R1:3]@[#6;R1:1](@[#6;R1:4])=[#7+:2](/[#6:5])-[#6:6]>>[#6:5]-[#7H1;+0:2]-[#6:6].[#6;x1;R1:3][#6x1;R1:1]([#6;x1;R1:4])=[O;R1],iminium_formation_2
77,[#6:10][#6X4:1][#7H0;+0;X3:2](-[#6X4:3])-[#6X4:4]>>[#6:10][#6X3;H1:1]=[#7H0+X3:2](-[#6X4:3])-[#6X4:4],iminium_reduction_0
78,[#6:10][#6X4:1]([#6:11])[#7H0;+0;X3:2](-[#6X4:3])-[#6X4:4]>>[#6:10][#6H0X3:1]([#6:11])=[#7H0+X3:2](-[#6X4:3])-[#6X4:4],iminium_reduction_1
79,"([NH0;+0;R:1]1[#6X4:2].[#6r5,r6,r7:6]=1)>>([N;+0:1][#6X4:2].[#6r5,r6,r7:6]=[O])",intramolecular_imine_formation
80,([N;+0:1][#6X4:2].[#6:4][#6:5][#6;z1:6]=[OH0:10])>>([NH0;+0:1]1[#6X4:2].[#6:4][#6:5][#6:6]=1),intramolecular_imine_hydrolysis
81,"([#6r5,r6,r7:7][#7+:1]1=[#6R:6].[#6:2]1)>>([#6r5,r6,r7:7][#7;+0:1][#6:2].[#6:6]=[O])",intramolecular_iminium_formation
82,([#6:7][#7R0;+0:1][#6:2].[#6:4][#6:5][#6;z1:6]=[OH0:10])>>([#6:7][#7+;H0:1]1=[#6:6][#6:5][#6:4].[#6:2]1),intramolecular_iminium_hydrolysis
83,[#7H2:1]-[#6@H:2](-[#6H2X4:3])-[#6:11](-[#8H:13])=[O:12]>>[#8H:13]-[#6:11](=[O:12])-[#6H0:2](=[O])-[#6H2X4:3],keto_acid_reduction_0
84,[#7H2:1]-[#6H:2](-[#6H2X4:3])-[#6:11](-[#8H:13])=[O:12]>>[#8H:13]-[#6:11](=[O:12])-[#6H0:2](=[O])-[#6H2X4:3],keto_acid_reduction_1
85,[#6:5][#6:6]([#7H2;R0:3])[#6:8]>>[#6:5][#6H0:6](=[#8])[#6:8],ketone_amination
86,[#6:5]-[#6:4]-[#8:6]-[#6:2](-[#6:1])=[O:3]>>[#6:5]-[#6:4]-[#6:2](-[#6:1])=[O:3],ketone_oxidation_(bvmo)
87,[#6:1][#6:2]([#6:3])[#8H1:4]>>[#6:1][#6H0:2]([#6:3])=[#8:4],ketone_reduction
88,[#6:1]-[#6:2](-[#6z0;X4:4])=[O:3]>>[#6:1]-[#6:2](-[#8:3])=[#6z0;X3:4],keto–enol_tautomerism_fwd
89,[#6:1]-[#6:2](-[#8:3])=[#6z0;X3:4]>>[#6:1]-[#6:2](-[#6z0;X4:4])=[O:3],keto–enol_tautomerism_rev
90,([N:1]1[#6:2].[#6:4][#6R1:5](=[OH0:6])1)>>([N:1][#6:2].[#6:4][#6:5](=[O:6])[O][#6]),lactam_closure
91,([N:1][#6X4:2][#6:3].[#6R0:4][#6R0:5](=[O:6])[OH:7])>>([N:1]1[#6:2][#6:3].[#6R1:4][#6R1:5](=[OH0:6])1),lactam_hydrolysis
92,([OH0:1]1[#6:2].[#6:4][#6R1:5](=[OH0:6])1)>>([OH:1][#6:2].[#6:4][#6:5](=[O:6])[O][#6]),lactone_closure
93,([OH:1][#6X4:2].[#6:4][#6:5](=[O:6])[OH:7])>>([OH0:1]1[#6:2].[#6:4][#6R1:5](=[OH0:6])1),lactone_hydrolysis
94,[#6:1]-[#6:2](-[OH:5])(-[#6:3])-[#6H3:4]>>[#6:1]-[#6:2](-[#6:3])=[#6H2:4],limonene_hydrolysis
95,[#6X4z1:1][Nz0:2][#6H3:3]>>[#6:1][N:2],n_methylation
96,[#6:1][#6X3H0:2](=[O:4])[NX3H2:3]>>[#6:1][#6X2H0:2]#[NX3H0:3],nitrile_hydrolysis_(conh)
97,[#6:1][#6X3H0:2](=[O:4])[OH:5]>>[#6:1][#6X2H0:2]#[NX3H0],nitrile_hydrolysis_(cooh)
98,[#6:1][#6X4H2:2][NX3H2:3]>>[#6:1][#6X2:2]#[NX3:3],nitrile_reduction
99,[#7H2:7]-[c:1]1[c:2][c:3][c:4][c:5][c:6]1>>[O]-[#7:7](-[O])-[c:1]1[c:2][c:3][c:4][c:5][c:6]1,nitro_over_reduction
100,[#8H1:8]-[#7:7]-[c:1]1[c:2][c:3][c:4][c:5][c:6]1>>[O:8]-[#7:7](-[O])-[c:1]1[c:2][c:3][c:4][c:5][c:6]1,nitro_reduction
101,[#8H1:19]-[c:18]1[c:17][c:16][c:15][c:12]2-[#6H2:11]-[#6H1:7]-3-[#7:8](-[#6H2:9]-[#6H2:10]-[c:6]4[cH1:1][c:2][c:3][c:4][c:5]-34)-[#6H2:14]-[c:13]12>>[#6H3:14]-[#7:8]-1-[#6H2:9]-[#6H2:10]-[c:6]2[cH1:1][c:2][c:3][c:4][c:5]2-[#6H1:7]-1-[#6H2:11]-[c:12]1[c:15][c:16][c:17][c:18](-[#8H1:19])[cH1:13]1,oxidative_ring_closure_0
102,[#8H1:19]-[c:18]1[c:17][c:16][c:15][c:12]2-[#6H2:11]-[#6@@H1:7]-3-[#7:8](-[#6H2:9]-[#6H2:10]-[c:6]4[cH1:1][c:2][c:3][c:4][c:5]-34)-[#6H2:14]-[c:13]12>>[#6H3:14]-[#7:8]-1-[#6H2:9]-[#6H2:10]-[c:6]2[cH1:1][c:2][c:3][c:4][c:5]2-[#6H1:7]-1-[#6H2:11]-[c:12]1[c:15][c:16][c:17][c:18](-[#8H1:19])[cH1:13]1,oxidative_ring_closure_1
103,[#8H1:19]-[c:16]1[c:17][c:18][c:13]2-[#6H2:14]-[#7:8]-3-[#6H2:9]-[#6H2:10]-[c:6]4[cH1:1][c:2][c:3][c:4][c:5]4-[#6H1:7]-3-[#6H2:11]-[c:12]2[c:15]1>>[#6H3:14]-[#7:8]-1-[#6H2:9]-[#6H2:10]-[c:6]2[cH1:1][c:2][c:3][c:4][c:5]2-[#6H1:7]-1-[#6H2:11]-[c:12]1[cH1:13][c:18][c:17][c:16](-[#8H1:19])[c:15]1,oxidative_ring_closure_2
104,[#8H1:19]-[c:16]1[c:17][c:18][c:13]2-[#6H2:14]-[#7:8]-3-[#6H2:9]-[#6H2:10]-[c:6]4[cH1:1][c:2][c:3][c:4][c:5]4-[#6@@H1:7]-3-[#6H2:11]-[c:12]2[c:15]1>>[#6H3:14]-[#7:8]-1-[#6H2:9]-[#6H2:10]-[c:6]2[cH1:1][c:2][c:3][c:4][c:5]2-[#6H1:7]-1-[#6H2:11]-[c:12]1[cH1:13][c:18][c:17][c:16](-[#8H1:19])[c:15]1,oxidative_ring_closure_3
105,[#6:10]-[#6:5]1=[#6:4]-[#6:3](=[O:7])[C@:2]([#6:8])([#8:9])[#6:1](=[O:11])\[#6:6]-1=[#6:12]/[#8:13]>>[#6:10]-[c:5]1[c:4][c:3](-[#8:7])[c:2](-[#6:8])[c:1](-[#8:11])[c:6]1-[#6:12]=[O:13],oxidative_de_aromatisation_0
106,[#6:10]-[#6:5]1=[#6:4]-[#6:3](=[O:7])[C:2]([#6:8])([#8:9])[#6:1](=[O:11])\[#6:6]-1=[#6:12]/[#8:13]>>[#6:10]-[c:5]1[c:4][c:3](-[#8:7])[c:2](-[#6:8])[c:1](-[#8:11])[c:6]1-[#6:12]=[O:13],oxidative_de_aromatisation_1
107,"[#8:18]-[#6:17]-[#6:16]-1-[#8:19]-[#6@H:12](-[#6:13]-[#6@@H:14]-1-[#8:15])-[n:9]1[c:8][n:7][c:2]2[c:1][c,n:6][c:5][n:4][c:3]12>>[#8:18]-[#6:17]-[#6:16]-1-[#8:19]-[#6@H:12](-[#6:13]-[#6@@H:14]-1-[#8:15])-[#8][P]([#8])([#8-])=[O].[c:8]1[n:7][c:2]2[c:1][c,n:6][c:5][n:4][c:3]2[nH:9]1",pnp
108,[#8:8]-[#6:7]-[#6:2]-1-[#6:3]-[#6:4]-[#6:5](-[#8:6][P:9]([#8:11])([#8-:10])=[O:12])-[#8:1]-1>>[#8:6]-[#6:5]-1-[#6:4]-[#6:3]-[#6:2](-[#6:7]-[#8:8][P:9]([#8:11])([#8-:10])=[O:12])-[#8:1]-1,phosphate_transfer
109,[#6:2]-[#8:1]>>[#6:2]-[#8:1][P]([#8])([#8])=[O],phosphate_hydrolysis
110,[#6:1]-[OH0:2]-[P:3](=[O:4])(-[O:5])(-[O:6])>>[#6:1]-[OH1:2],phosphorylation
111,[#6:11]-[#6:12]-1-[#7:10]-[#6:9]-[#6:8]-[c:6]2[c:1][c:2](-[#8:7])[c:3][c:4][c:5]-12>>[#7:10]-[#6:9]-[#6:8]-[c:6]1[c:5][c:4][c:3][c:2](-[#8:7])[c:1]1.[#6:11]-[#6:12]=[O],pictet_spengler_0
112,[#6:14][#6:13]1[#7:12][#6:11][#6:10][c:9]2[c:8]1[#7:7][c:5]1[c:4][c:3][c:2][c:1][c:6]21>>[#7:12][#6:11][#6:10][c:9]1[c:8][#7:7][c:5]2[c:4][c:3][c:2][c:1][c:6]12.[#6:14][#6:13]=[O],pictet_spengler_1
113,[#6:2]-[#6:1](-[#8H1:3])=[O:4]>>[#6:2]-[#6:1]-[#8H1:3],primary_alcohol_over_oxidation
114,[#6:1][#6H1:2]=[#8:4]>>[#6:1][#6H2:2][#8H1:4],primary_alcohol_oxidation_0
115,[#6H2:2]=[#8:4]>>[#6H3:2][#8H1:4],primary_alcohol_oxidation_1
116,[#6:5][#6H1:6]=[#8:7]>>[#6:5][#6H2:6][#7;R0],primary_amine_deamination
117,[#6:1][#6H0:2]([#6:3])=[#8:4]>>[#6:1][#6@@H1:2]([#6:3])[#8H1:4],secondary_alcohol_oxidation
118,[#6:5][#6H0:6](=[#8:7])[#6:8]>>[#6:5][#6@H1:6]([#7;R0])[#6:8],secondary_amine_deamination
119,[#6:15]-[#6:13]-1=[#6:12]-[#6:5]-2=[#6:4]-[#6:3](=[O:16])[C:2]([#6:8])([#8:7])[#6:1](=[O:9])-[#6:6]-2=[#6:10]-[#8:14]-1>>[#6:15]-[#6:13](=[O:14])-[#6:12]-[#6:5]1=[#6:4]-[#6:3](=[O:16])[C:2]([#6:8])([#8:7])[#6:1](=[O:9])\[#6:6]-1=[#6:10]/[#8],spontaneous_ring_close_0
120,[#6:15]-[#6:13]-1=[#6:12]-[#6:5]-2=[#6:4]-[#6:3](=[O:16])[C@:2]([#6:8])([#8:7])[#6:1](=[O:9])-[#6:6]-2=[#6:10]-[#8:14]-1>>[#6:15]-[#6:13](=[O:14])-[#6:12]-[#6:5]1=[#6:4]-[#6:3](=[O:16])[C@:2]([#6:8])([#8:7])[#6:1](=[O:9])\[#6:6]-1=[#6:10]/[#8],spontaneous_ring_close_1
121,[#8:3]=[#6H1:1][#6H2:2][c:9]2[c:8][c:7][c:6][c:12][c:11]2>>[#6H1:1]-1-[#8:3]-[#6H1:2]-1-[c:9]2[c:8][c:7][c:6][c:12][c:11]2,styrene_oxide_isomerisation
122,[#6:2][S:1]([#6:3])=[O:4]>>[#6:2]-[#16:1]-[#6:3],sulfide_oxidation_(bvmo)
123,[#6:1][#6H0:2](=[O:3])[#6:4]([OH:5])[c:6]>>[#6:1][#6H0:2]([#6](=[OH0])[OH])=[O:3].[#6H1:4](=[O:5])[c:6],thiamine_dependent_lyase_(ar_acceptor)_co2
124,[c:1][#6H0:2](=[O:3])[#6X4;z1:4]([OH:5])>>[c:1][#6H1:2]=[O:3].[#6X4;z1:4](=[O:5]),thiamine_dependent_lyase_(ar_donor)
125,[#6:10][#6X3;R0:1](=[OH0:2])-[#6X4;z0:3]-[#6X4H2:4]-[#6;R0:5]=[OH0:6]>>[#6:10][#6X3;R0:1](=[OH0:2]).[#6X3;z0:3]=[#6X3H1:4]-[#6;R0:5]=[OH0:6],"thiamine_dependent_lyases_1,4_addition"
126,[#6;X3;z1:2](=[O:3])[#6:4]([OH:5])[c:6]>>[#6X3;z1:2]=[O:3].[#6H1:4](=[O:5])[c:6],thiamine_dependent_lyase_(ar_acceptor)
127,[#6:1]-[#6:2](=[O:3])-[#7X3:4]>>[#6:1]-[#6:2](=[O:3])-[#7X3]-[C].[#7X3:4],transamidation
128,[#7H2:15]-[#6@@H:11](-[#6:10]-[c:9]1[c:8][nH1:7][c:4]2[c:3][c:2][c:1][c:6][c:5]12)-[#6:12](-[#8H1:13])=[O:14]>>[c:8]1[c:9][c:5]2[c:6][c:1][c:2][c:3][c:4]2[n:7]1,tryptophan_synthase
129,[c:1]1[c:2][c:3][c:4][c:5][c:6]1[C:7][C:8]([NH2])[C:9](=[O:10])[O:11]>>[c:1]1[c:2][c:3][c:4][c:5][c:6]1/[C:7]=[C:8]/[C:9](=[O:10])[O:11],α_amino_amination
130,[c:1]1[c:2][c:3][c:4][c:5][c:6]1/[C:7]=[C:8]/[C:9](=[O:10])[O:11]>>[c:1]1[c:2][c:3][c:4][c:5][c:6]1[C:7]-[C@@H1:8](-[NH2])[C:9](=[O:10])[O:11],α_amino_deamination_0
131,[c:1]1[c:2][c:3][c:4][c:5][c:6]1/[C:7]=[C:8]/[C:9](=[O:10])[O:11]>>[c:1]1[c:2][c:3][c:4][c:5][c:6]1[C:7]-[C@H1:8](-[NH2])[C:9](=[O:10])[O:11],α_amino_deamination_1
132,[c:1]1[c:2][c:3][c:4][c:5][c:6]1[#6h1:7]([NH2])[C:8][C:9](=[O:10])[O:11]>>[c:1]1[c:2][c:3][c:4][c:5][c:6]1/[#6:7]=[C:8]/[C:9](=[O:10])[O:11],β_amino_amination
133,[c:1]1[c:2][c:3][c:4][c:5][c:6]1/[C:7]=[C:8]/[C:9](=[O:10])[O:11]>>[c:1]1[c:2][c:3][c:4][c:5][c:6]1[C@@H1:7](-[NH2])[C:8][C:9](=[O:10])[O:11],β_amino_deamination_0
134,[c:1]1[c:2][c:3][c:4][c:5][c:6]1/[C:7]=[C:8]/[C:9](=[O:10])[O:11]>>[c:1]1[c:2][c:3][c:4][c:5][c:6]1[C@H1:7](-[NH2])[C:8][C:9](=[O:10])[O:11],β_amino_deamination_1
